sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
埔里,南投縣,24,,良好,1,0.31,9.3,26.6,18,,8,8.2,0.1,1.1,323,"2023/08/06 21:00:00",0.1,,15,0,120.967903,23.968842,72
馬祖,連江縣,115,臭氧八小時,對敏感族群不健康,0.9,0.19,66.7,75.3,43,24,4.3,5.1,0.7,3.6,220,"2023/08/06 21:00:00",0.1,25.6,43,0,119.93149378,26.15188416,75
金門,金門縣,58,細懸浮微粒,普通,0.6,0.13,36,50.9,34,15,3,4.1,1,3.3,200,"2023/08/06 21:00:00",0.1,18.5,38,1,118.312256,24.432133,77
馬公,澎湖縣,46,,良好,0.2,0.18,26.1,30.1,34,12,4.2,5,0.8,1.4,182,"2023/08/06 21:00:00",0.1,14.1,34,0,119.566158,23.569031,78
關山,臺東縣,22,,良好,0.4,0.15,15.1,24.2,21,5,4.6,5.3,0.7,0.4,280,"2023/08/06 21:00:00",0.1,,12,0,121.161933,23.045083,80
麥寮,雲林縣,38,,良好,0.9,0.23,19.7,32.1,32,11,6.3,8.7,2.4,2.6,186,"2023/08/06 21:00:00",0.1,11.7,33,0,120.251825,23.753506,83
富貴角,新北市,47,,良好,0.5,0.17,39.4,51.1,39,12,4.4,4.5,0,4.7,249,"2023/08/06 21:00:00",0.1,13.1,39,0,121.53656894,25.29681695,84
大城,彰化縣,38,,良好,0.6,0.1,21.8,33.7,31,14,0.9,2.5,1.6,1.4,179,"2023/08/06 21:00:00",0,11.6,31,0,120.26964167,23.85493056,85
彰化(員林),彰化縣,44,,良好,1.5,0.19,23,34.6,35,10,4.3,4.7,0.4,1.2,126,"2023/08/06 21:00:00",0.1,13.5,34,1,120.56373,23.96117,201
高雄(湖內),高雄市,33,,良好,3.8,0.23,20.1,22.8,34,16,5.3,6.4,1.1,1.4,267,"2023/08/06 21:00:00",0.1,10.2,31,1,120.24535,22.87985556,202
臺南(麻豆),臺南市,38,,良好,0.4,0.13,19,22.2,36,15,2.9,3.8,0.9,0.8,164,"2023/08/06 21:00:00",0.1,11.8,36,0,120.24583056,23.17904722,203
屏東(琉球),屏東縣,54,懸浮微粒,普通,1.4,0.11,24.3,23.4,51,15,1.9,2.8,0.8,1.5,318,"2023/08/06 21:00:00",0.1,14.1,54,0,120.37722,22.35222,204
桃園(三民),桃園市,50,,良好,0.7,0.4,32,44.3,33,16,11.5,14.3,2.7,1.1,275,"2023/08/06 21:00:00",0.4,15.4,32,0,121.31788148,25.00132736,310
新北(樹林),新北市,47,,良好,0.7,0.23,29.1,39.3,26,13,10,10.5,0.5,1,36,"2023/08/06 21:00:00",0.2,14.6,27,0,121.38352778,24.94902778,311
屏東(枋山),屏東縣,64,懸浮微粒,普通,0.1,0.07,23.7,25.7,61,19,1.7,1.6,0,4.4,297,"2023/08/06 21:00:00",0,18.7,64,0,120.651472,22.260899,313
